x_value,total_1,total_2
0,1000,1000
1,1006,1004
2,1009,1009
3,1006,1004
4,1004,1008
5,1004,1013
6,1000,1014
7,996,1009
8,1003,1010
9,1000,1005
10,996,1000
11,997,1006
12,994,1007
13,991,1005
14,993,1011
15,992,1013
16,990,1018
17,994,1022
18,1000,1027
19,996,1029
20,998,1030
21,998,1036
22,997,1040
23,992,1039
24,988,1038
25,982,1038
26,984,1042
27,991,1047
28,988,1053
29,987,1056
30,994,1060
31,992,1056
32,998,1059
33,992,1064
34,994,1060
35,989,1062
36,988,1065
37,993,1065
38,997,1069
39,1002,1072
40,1003,1068
41,1008,1066
42,1004,1064
43,1010,1062
44,1004,1068
45,1011,1072
46,1016,1068
47,1014,1063
48,1011,1064
49,1015,1066
50,1016,1065
51,1010,1064
52,1008,1063
53,1006,1067
54,1011,1070
55,1016,1073
56,1021,1072
57,1027,1075
58,1031,1079
59,1039,1084
60,1047,1090
61,1055,1090
62,1057,1091
63,1054,1090
64,1059,1085
65,1055,1080
66,1058,1075
67,1053,1080
68,1048,1075
69,1044,1080
70,1047,1082
71,1049,1082
72,1045,1079
73,1044,1074
74,1050,1069
75,1054,1072
76,1049,1073
77,1051,1068
78,1055,1063
79,1053,1067
80,1049,1065
81,1047,1062
82,1046,1063
83,1054,1063
84,1052,1060
85,1055,1056
86,1057,1060
87,1058,1060
88,1066,1060
89,1074,1065
90,1071,1062
91,1065,1059
92,1063,1061
93,1059,1056
94,1061,1055
95,1059,1054
96,1060,1057
97,1065,1055
98,1065,1054
99,1065,1053
100,1069,1049
101,1068,1045
102,1063,1049
103,1069,1048
104,1077,1044
105,1075,1039
106,1073,1038
107,1080,1035
108,1088,1030
109,1086,1025
110,1081,1027
111,1075,1030
112,1070,1031
113,1067,1026
114,1070,1027
115,1066,1026
116,1060,1022
117,1059,1027
118,1054,1030
119,1062,1028
120,1060,1033
121,1067,1031
122,1064,1030
123,1068,1028
124,1064,1023
125,1072,1027
126,1079,1027
127,1074,1030
128,1072,1026
129,1071,1025
130,1070,1020
131,1068,1017
132,1064,1016
133,1071,1013
134,1065,1013
135,1069,1015
136,1071,1015
137,1077,1016
138,1071,1016
139,1068,1014
140,1075,1010
141,1077,1016
142,1074,1017
143,1080,1014
144,1088,1020
145,1095,1018
146,1093,1016
147,1087,1019
148,1081,1016
149,1087,1020
150,1083,1015
151,1089,1021
152,1089,1019
153,1087,1018
154,1093,1023
155,1091,1019
156,1093,1020
157,1098,1020
158,1092,1025
159,1099,1029
160,1100,1025
161,1104,1020
162,1104,1021
163,1098,1024
164,1095,1020
165,1096,1024
166,1092,1022
167,1100,1022
168,1095,1024
169,1093,1026
170,1093,1030
171,1100,1029
172,1107,1031
173,1103,1033
174,1108,1032
175,1116,1032
176,1119,1031
177,1124,1033
178,1126,1033
179,1120,1029
180,1121,1030
181,1120,1030
182,1125,1033
183,1122,1032
184,1120,1035
185,1117,1036
186,1124,1038
187,1120,1044
188,1115,1046
189,1109,1046
190,1109,1049
191,1109,1052
192,1103,1050
193,1104,1053
194,1107,1056
195,1108,1059
196,1106,1054
197,1104,1058
198,1098,1058
199,1093,1060
200,1096,1063
201,1102,1063
202,1106,1066
203,1105,1061
204,1111,1065
205,1117,1067
206,1120,1068
207,1115,1069
208,1123,1065
209,1118,1065
210,1118,1071
211,1113,1072
212,1115,1074
213,1115,1077
214,1121,1082
215,1129,1080
216,1132,1083
217,1138,1087
218,1137,1088
219,1132,1084
220,1134,1088
221,1129,1088
222,1129,1086
223,1123,1081
224,1129,1083
225,1126,1078
226,1130,1074
227,1135,1078
228,1134,1079
229,1128,1076
230,1123,1074
231,1122,1075
232,1126,1073
233,1131,1077
234,1126,1079
235,1129,1080
236,1127,1081
237,1121,1081
238,1127,1079
239,1121,1075
240,1128,1073
241,1133,1074
242,1140,1071
243,1141,1066
244,1138,1068
245,1137,1073
246,1142,1078
247,1141,1082
248,1139,1079
249,1138,1077
250,1146,1082
251,1148,1087
252,1154,1089
253,1158,1094
254,1166,1089
255,1160,1093
256,1156,1097
257,1154,1094
258,1151,1090
259,1150,1089
260,1144,1092
261,1146,1089
262,1150,1092
263,1154,1093
264,1149,1093
265,1156,1090
266,1152,1094
267,1157,1096
268,1164,1098
269,1164,1096
270,1164,1101
271,1163,1096
272,1167,1093
273,1171,1089
274,1176,1092
275,1180,1092
276,1184,1093
277,1188,1088
278,1190,1089
279,1194,1095
280,1196,1097
281,1191,1100
282,1185,1106
283,1191,1111
284,1188,1117
285,1182,1116
286,1183,1116
287,1180,1114
288,1184,1115
289,1191,1114
290,1185,1112
291,1193,1118
292,1201,1120
293,1198,1125
294,1196,1128
295,1199,1126
296,1196,1132
297,1201,1132
298,1200,1131
299,1198,1131
300,1194,1129
301,1194,1134
302,1193,1135
303,1199,1130
304,1196,1131
305,1200,1129
306,1199,1133
307,1200,1129
308,1195,1127
309,1194,1122
310,1189,1124
311,1183,1122
312,1191,1117
313,1190,1119
314,1184,1124
315,1188,1130
316,1194,1131
317,1192,1127
318,1194,1131
319,1200,1135
320,1202,1134
321,1210,1140
322,1205,1145
323,1210,1141
324,1205,1144
325,1213,1149
326,1214,1144
327,1209,1149
328,1214,1150
329,1220,1146
330,1225,1141
331,1233,1146
332,1240,1152
333,1236,1158
334,1244,1161
335,1250,1166
336,1249,1172
337,1245,1172
338,1245,1172
339,1252,1175
340,1254,1181
341,1253,1176
342,1248,1181
343,1246,1179
344,1243,1185
345,1242,1187
346,1243,1185
347,1249,1182
348,1243,1185
349,1248,1181
350,1248,1185
351,1249,1180
352,1253,1179
353,1259,1182
354,1253,1184
355,1250,1185
356,1247,1183
357,1243,1183
358,1238,1181
359,1244,1185
360,1240,1186
361,1243,1187
362,1249,1183
363,1245,1188
364,1247,1190
365,1250,1192
366,1245,1196
367,1245,1194
368,1247,1190
369,1246,1189
370,1245,1189
371,1250,1193
372,1245,1196
373,1251,1198
374,1250,1202
375,1247,1197
376,1247,1194
377,1246,1192
378,1251,1188
379,1245,1192
380,1248,1191
381,1256,1186
382,1250,1191
383,1246,1192
384,1250,1195
385,1244,1200
386,1241,1199
387,1247,1198
388,1248,1202
389,1250,1206
390,1247,1209
391,1241,1213
392,1235,1211
393,1237,1206
394,1237,1207
395,1238,1207
396,1238,1210
397,1243,1212
398,1246,1209
399,1243,1208
400,1241,1208
401,1241,1210
402,1247,1213
403,1244,1216
404,1252,1211
405,1254,1210
406,1254,1214
407,1259,1210
408,1263,1207
409,1259,1210
410,1263,1210
411,1262,1215
412,1257,1210
413,1251,1211
414,1253,1209
415,1257,1204
416,1256,1200
417,1254,1203
418,1255,1209
419,1253,1214
420,1250,1210
421,1246,1211
422,1251,1215
423,1249,1217
424,1247,1213
425,1244,1208
426,1245,1206
427,1253,1210
428,1258,1213
429,1262,1213
430,1257,1213
431,1260,1213
432,1261,1219
433,1265,1219
434,1263,1222
435,1259,1227
436,1265,1228
437,1267,1227
438,1263,1222
439,1269,1223
440,1263,1218
441,1262,1215
442,1268,1219
443,1272,1224
444,1267,1225
445,1264,1224
446,1261,1220
447,1255,1226
448,1252,1228
449,1255,1227
450,1261,1225
451,1257,1230
452,1257,1230
453,1251,1225
454,1251,1229
455,1247,1225
456,1243,1228
457,1246,1226
458,1250,1229
459,1257,1224
460,1261,1227
461,1256,1225
462,1258,1226
463,1257,1225
464,1260,1222
465,1255,1220
466,1260,1219
467,1263,1216
